Date,Open,High,Low,Close,Vol.,Change %,ATR(14),movingstddevclose,movingstddevatr
"May 30, 2018",163.04,163.06,161.41,162.02,1.63M,-0.48%,1.0535714285714246,1.0553451848185136,0.11571917313561288
"May 31, 2018",161.75,162.23,160.95,162.14,1.47M,0.07%,1.1185714285714243,1.1175753210335455,0.1345316563531863
"Jun 01, 2018",161.67,161.83,160.99,161.46,1.23M,-0.42%,1.137142857142852,1.1519014905908045,0.1519170232841569
"Jun 04, 2018",161.24,161.42,160.78,160.89,1.74M,-0.35%,1.145714285714283,1.1672684282152954,0.16808028197596886
"Jun 05, 2018",160.82,161.68,160.81,161.46,1.89M,0.35%,1.1549999999999971,1.198443857652197,0.18295185230190883
"Jun 06, 2018",161.06,161.32,159.94,160.24,600.58K,-0.76%,1.2164285714285694,1.197139264200193,0.1994775939459329
"Jun 07, 2018",160.12,160.14,159.54,159.57,31.81K,-0.42%,1.1935714285714292,1.1853292141477603,0.213222768820777
"Jun 08, 2018",160.23,161.13,160.18,160.4,959.96K,0.52%,1.241428571428573,1.177032431971251,0.2279929384771295
"Jun 11, 2018",160.22,160.22,159.55,159.74,623.12K,-0.41%,1.2528571428571442,1.176698959059531,0.24186212233536644
"Jun 12, 2018",159.84,159.92,159.37,159.85,634.99K,0.07%,1.2250000000000003,1.176180867283963,0.2534073005083722
"Jun 13, 2018",159.8,160.22,159.63,160.07,620.45K,0.14%,1.1971428571428586,1.1777782474981207,0.2628346044572321
"Jun 14, 2018",160.0,160.85,159.45,160.71,953.59K,0.40%,1.2050000000000023,1.1903518057212636,0.2718873062326806
"Jun 15, 2018",160.88,161.52,160.75,161.16,792.24K,0.28%,1.1407142857142876,1.2126436748034284,0.278335186250763
"Jun 18, 2018",161.17,161.41,161.02,161.15,456.23K,-0.01%,1.0,1.2335850499547807,0.27971001857422695
"Jun 19, 2018",161.49,161.86,161.46,161.53,721.42K,0.24%,0.932857142857143,1.2631666999292588,0.27979091532021916
"Jun 20, 2018",161.43,161.69,161.31,161.51,521.73K,-0.01%,0.8685714285714283,1.290691787378864,0.2789300632866242
"Jun 21, 2018",161.31,162.35,161.26,162.15,977.02K,0.40%,0.8642857142857159,1.3346547566158689,0.27782081470398884
"Jun 22, 2018",162.15,162.24,161.8,162.1,536.05K,-0.03%,0.8471428571428581,1.3753441980729355,0.27645723406885214
"Jun 25, 2018",162.34,162.57,162.01,162.23,510.18K,0.08%,0.8250000000000008,1.4164407515021624,0.27469034852977237
"Jun 26, 2018",162.05,162.37,161.75,162.09,598.32K,-0.09%,0.7607142857142861,1.4479756224518532,0.27257303821235407
"Jun 27, 2018",162.09,162.55,162.01,162.3,607.01K,0.13%,0.7492857142857149,1.4862656574356763,0.27070079314334206
"Jun 28, 2018",162.42,162.66,162.18,162.46,512.92K,0.10%,0.6721428571428569,1.5253135109802165,0.26906025998180466
"Jun 29, 2018",162.15,162.65,161.85,162.55,699.21K,0.06%,0.6685714285714296,1.564283972497031,0.2664740127496482
"Jul 02, 2018",162.57,162.89,162.42,162.63,460.78K,0.05%,0.6628571428571449,1.60067408057654,0.2640619987410343
"Jul 03, 2018",162.41,162.81,162.22,162.72,504.75K,0.06%,0.6628571428571449,1.6382234586982583,0.2617888513281847
"Jul 04, 2018",162.6,162.87,162.37,162.55,316.43K,-0.10%,0.5985714285714303,1.6646084985753749,0.25998754457043666
"Jul 05, 2018",162.37,162.78,162.06,162.7,608.84K,0.09%,0.5921428571428586,1.6758902533162476,0.2588368753581695
"Jul 06, 2018",162.5,162.93,162.47,162.82,428.97K,0.07%,0.5971428571428602,1.6851101526058965,0.25781763842388405
"Jul 09, 2018",162.67,162.73,162.35,162.61,406.31K,-0.13%,0.5800000000000024,1.6752323805971154,0.25698837501606125
"Jul 10, 2018",162.49,162.57,162.26,162.38,488.69K,-0.14%,0.5778571428571472,1.654014418533274,0.25640229233079426
"Jul 11, 2018",162.59,162.8,162.4,162.53,547.38K,0.09%,0.5300000000000052,1.6298322979243844,0.2564153536550413
"Jul 12, 2018",162.55,162.82,162.45,162.77,412.72K,0.15%,0.5250000000000057,1.624229237193743,0.2568704912995554
"Jul 13, 2018",162.68,163.22,162.66,162.98,452.73K,0.13%,0.5250000000000057,1.6287580208326422,0.2575652789688552
"Jul 16, 2018",162.97,162.97,162.44,162.47,388.74K,-0.31%,0.5192857142857191,1.6201293289820795,0.25829550742099056
"Jul 17, 2018",162.59,162.9,162.57,162.85,365.31K,0.23%,0.5114285714285752,1.612264240697311,0.25881854247402536
"Jul 18, 2018",162.75,163.2,162.75,162.95,429.74K,0.06%,0.509285714285718,1.6188681330317611,0.2599965748249232
"Jul 19, 2018",162.78,163.26,162.7,163.08,457.41K,0.08%,0.4921428571428602,1.6215250217701864,0.2614191913727685
"Jul 20, 2018",163.16,163.39,162.44,162.53,596.60K,-0.34%,0.5264285714285738,1.6151499293255247,0.2619094529787617
"Jul 23, 2018",162.41,162.54,161.97,162.1,570.47K,-0.26%,0.5250000000000016,1.589327009277283,0.2624672052296732
"Jul 24, 2018",162.03,162.33,161.82,162.28,536.47K,0.11%,0.5257142857142887,1.5627769188574503,0.2627719477719963
"Jul 25, 2018",162.34,162.47,161.9,162.37,441.50K,0.06%,0.5150000000000026,1.540550828550063,0.262569948452874
