Date,Open,High,Low,Close,Vol.,Change %
"Oct 11, 2021",169.1,169.11,168.57,168.78,547.63K,-0.26%
"Oct 08, 2021",169.55,169.69,169.11,169.22,832.29K,-0.29%
"Oct 07, 2021",169.53,170.0,169.4,169.71,706.34K,0.04%
"Oct 06, 2021",169.63,169.91,169.12,169.65,923.81K,-0.01%
"Oct 05, 2021",170.17,170.39,169.64,169.66,704.30K,-0.26%
"Oct 04, 2021",170.45,170.55,169.92,170.11,604.57K,-0.06%
"Oct 01, 2021",170.03,170.53,169.92,170.22,781.48K,0.24%
"Sep 30, 2021",170.12,170.19,169.56,169.82,942.18K,-0.19%
"Sep 29, 2021",169.65,170.32,169.61,170.15,737.21K,0.17%
"Sep 28, 2021",170.25,170.31,169.48,169.86,943.32K,-0.18%
"Sep 27, 2021",170.33,170.68,169.73,170.17,786.12K,-0.08%
"Sep 24, 2021",170.59,170.62,170.14,170.3,803.94K,-0.23%
"Sep 23, 2021",171.67,171.72,170.6,170.7,905.35K,-0.61%
"Sep 22, 2021",171.69,171.93,171.41,171.74,584.54K,0.00%
"Sep 21, 2021",171.7,171.96,171.27,171.74,652.92K,0.11%
"Sep 20, 2021",171.01,171.84,170.99,171.55,702.85K,0.32%
"Sep 17, 2021",171.2,171.32,170.81,171.0,675.36K,-0.25%
"Sep 16, 2021",171.48,171.53,171.1,171.43,684.75K,-0.08%
"Sep 15, 2021",171.86,172.07,171.34,171.57,727.41K,-0.20%
"Sep 14, 2021",171.7,172.12,171.33,171.91,807.83K,0.06%
"Sep 13, 2021",171.71,171.92,171.62,171.8,418.82K,-0.05%
"Sep 10, 2021",172.44,172.46,171.71,171.88,521.58K,-0.23%
"Sep 09, 2021",171.69,172.48,171.59,172.28,763.55K,-1.33%
"Sep 08, 2021",174.44,174.71,174.33,174.6,9.31K,0.06%
"Sep 07, 2021",175.1,175.18,174.36,174.49,186.56K,-0.43%
"Sep 06, 2021",175.09,175.27,174.9,175.25,512.63K,0.05%
"Sep 03, 2021",175.42,175.64,174.9,175.17,1.17M,-0.17%
"Sep 02, 2021",175.23,175.65,175.2,175.47,1.46M,0.14%
"Sep 01, 2021",175.35,175.5,174.98,175.23,1.14M,-0.13%
"Aug 31, 2021",176.46,176.48,175.34,175.45,996.21K,-0.47%
"Aug 30, 2021",176.11,176.4,175.83,176.28,387.01K,0.16%
"Aug 27, 2021",175.86,176.11,175.66,175.99,540.73K,0.03%
"Aug 26, 2021",175.91,176.14,175.71,175.93,736.49K,-0.03%
"Aug 25, 2021",176.77,176.87,175.91,175.98,811.47K,-0.48%
"Aug 24, 2021",176.93,177.08,176.66,176.83,518.08K,-0.03%
"Aug 23, 2021",177.1,177.16,176.56,176.89,507.28K,-0.15%
"Aug 20, 2021",177.02,177.22,176.99,177.15,318.42K,0.06%
"Aug 19, 2021",177.01,177.24,176.86,177.04,518.03K,0.07%
"Aug 18, 2021",176.81,177.08,176.71,176.92,430.20K,0.07%
"Aug 17, 2021",176.75,177.24,176.68,176.8,510.27K,0.00%
"Aug 16, 2021",176.86,177.07,176.48,176.8,468.51K,0.09%
"Aug 13, 2021",176.52,176.8,176.29,176.64,394.18K,0.03%
"Aug 12, 2021",176.76,176.77,176.35,176.58,416.08K,0.01%
"Aug 11, 2021",176.55,176.83,176.21,176.57,579.58K,-0.01%
"Aug 10, 2021",176.6,176.95,176.41,176.59,451.13K,0.04%
"Aug 09, 2021",176.45,176.91,176.39,176.52,405.68K,0.01%
"Aug 06, 2021",177.2,177.27,176.47,176.5,580.95K,-0.45%
"Aug 05, 2021",177.16,177.61,177.05,177.29,561.19K,0.20%
"Aug 04, 2021",177.01,177.52,176.85,176.94,661.16K,-0.02%
"Aug 03, 2021",176.82,177.12,176.67,176.97,459.06K,0.08%
"Aug 02, 2021",176.55,177.07,176.35,176.82,504.55K,0.14%
"Jul 30, 2021",176.54,176.73,176.29,176.57,584.90K,0.07%
"Jul 29, 2021",176.57,176.67,176.03,176.44,594.92K,0.02%
"Jul 28, 2021",176.27,176.66,176.2,176.41,628.19K,0.09%
"Jul 27, 2021",175.88,176.37,175.82,176.26,503.70K,0.24%
"Jul 26, 2021",176.0,176.42,175.62,175.83,541.47K,0.01%
"Jul 23, 2021",175.9,175.97,175.56,175.81,476.08K,-0.07%
"Jul 22, 2021",175.54,176.15,175.24,175.94,695.78K,0.23%
"Jul 21, 2021",175.77,176.11,175.41,175.53,755.38K,-0.18%
"Jul 20, 2021",175.48,176.28,175.41,175.85,912.58K,0.19%
"Jul 19, 2021",175.15,175.72,175.02,175.52,742.94K,0.37%
"Jul 16, 2021",174.86,175.04,174.65,174.87,451.48K,0.17%
"Jul 15, 2021",174.55,174.9,174.45,174.58,623.77K,0.14%
"Jul 14, 2021",173.72,174.49,173.7,174.34,612.53K,0.13%
"Jul 13, 2021",174.05,174.31,173.7,174.12,802.45K,0.04%
"Jul 12, 2021",173.91,174.32,173.91,174.05,456.60K,0.09%
"Jul 09, 2021",174.16,174.32,173.87,173.9,552.53K,-0.25%
"Jul 08, 2021",174.16,174.77,174.09,174.34,892.13K,0.18%
